Source,Target,Type,weight,book
Aegon-I-Targaryen,Daenerys-Targaryen,undirected,4,5
Aegon-Targaryen-(son-of-Rhaegar),Daenerys-Targaryen,undirected,11,5
Aegon-Targaryen-(son-of-Rhaegar),Elia-Martell,undirected,4,5
Aegon-Targaryen-(son-of-Rhaegar),Franklyn-Flowers,undirected,3,5
Aegon-Targaryen-(son-of-Rhaegar),Haldon,undirected,14,5
Aegon-Targaryen-(son-of-Rhaegar),Harry-Strickland,undirected,9,5
Aegon-Targaryen-(son-of-Rhaegar),Jon-Connington,undirected,16,5
Aegon-Targaryen-(son-of-Rhaegar),Lemore,undirected,10,5
Aegon-Targaryen-(son-of-Rhaegar),Rhaegar-Targaryen,undirected,9,5
Aegon-Targaryen-(son-of-Rhaegar),Rhaenys-Targaryen-(daughter-of-Rhaegar),undirected,4,5
Aegon-Targaryen-(son-of-Rhaegar),Rolly-Duckfield,undirected,11,5
Aegon-Targaryen-(son-of-Rhaegar),Tyrion-Lannister,undirected,23,5
Aegon-Targaryen-(son-of-Rhaegar),Tywin-Lannister,undirected,3,5
Aegon-Targaryen-(son-of-Rhaegar),Viserys-Targaryen,undirected,3,5
Aegon-Targaryen-(son-of-Rhaegar),Yandry,undirected,6,5
Aegon-Targaryen-(son-of-Rhaegar),Ysilla,undirected,4,5
Aemon-Targaryen-(Maester-Aemon),Clydas,undirected,7,5
Aemon-Targaryen-(Maester-Aemon),Gilly,undirected,3,5
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,undirected,12,5
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,undirected,16,5
Aemon-Targaryen-(Maester-Aemon),Stannis-Baratheon,undirected,3,5
Aenys-Frey,Hosteen-Frey,undirected,6,5
Aenys-Frey,Theon-Greyjoy,undirected,3,5
Aenys-Frey,Wyman-Manderly,undirected,4,5
Aeron-Greyjoy,Euron-Greyjoy,undirected,4,5
Aeron-Greyjoy,Victarion-Greyjoy,undirected,3,5
Aerys-II-Targaryen,Rhaegar-Targaryen,undirected,5,5
Aerys-II-Targaryen,Robert-Baratheon,undirected,5,5
Aerys-II-Targaryen,Tywin-Lannister,undirected,6,5
Aggo,Barristan-Selmy,undirected,3,5
Aggo,Daario-Naharis,undirected,4,5
Aggo,Daenerys-Targaryen,undirected,9,5
Aggo,Grey-Worm,undirected,5,5
Aggo,Jhogo,undirected,6,5
Aggo,Rakharo,undirected,9,5
Alliser-Thorne,Jon-Snow,undirected,6,5
Alys-Karstark,Jon-Snow,undirected,13,5
Alys-Karstark,Melisandre,undirected,6,5
Alys-Karstark,Sigorn,undirected,5,5
Alysane-Mormont,Asha-Greyjoy,undirected,18,5
Alysane-Mormont,Justin-Massey,undirected,5,5
Alysane-Mormont,Stannis-Baratheon,undirected,5,5
Archibald-Yronwood,Cletus-Yronwood,undirected,5,5
Archibald-Yronwood,Gerris-Drinkwater,undirected,13,5
Archibald-Yronwood,Quentyn-Martell,undirected,21,5
Archibald-Yronwood,Tattered-Prince,undirected,4,5
Areo-Hotah,Arianne-Martell,undirected,11,5
Areo-Hotah,Arys-Oakheart,undirected,4,5
Areo-Hotah,Balon-Swann,undirected,4,5
Areo-Hotah,Doran-Martell,undirected,12,5
Areo-Hotah,Ellaria-Sand,undirected,3,5
Areo-Hotah,Obara-Sand,undirected,6,5
Arianne-Martell,Balon-Swann,undirected,5,5
Arianne-Martell,Doran-Martell,undirected,11,5
Arianne-Martell,Ellaria-Sand,undirected,3,5
Arianne-Martell,Myrcella-Baratheon,undirected,4,5
Arianne-Martell,Obara-Sand,undirected,5,5
Arnolf-Karstark,Arthor-Karstark,undirected,3,5
Arnolf-Karstark,Asha-Greyjoy,undirected,3,5
Arnolf-Karstark,Mors-Umber,undirected,4,5
Arnolf-Karstark,Rickard-Karstark,undirected,3,5
Arnolf-Karstark,Stannis-Baratheon,undirected,7,5
Arron,Emrick,undirected,6,5
Arron,Hareth-(Moles-Town),undirected,4,5
Arron,Satin,undirected,4,5
