Id,Label
Addam-Marbrand,Addam Marbrand
Aegon-Targaryen-(son-of-Rhaegar),Aegon Targaryen (son of Rhaegar)
Aegon-V-Targaryen,Aegon V Targaryen
Aemon-Targaryen-(Maester-Aemon),Aemon Targaryen (Maester Aemon)
Aeron-Greyjoy,Aeron Greyjoy
Aerys-II-Targaryen,Aerys II Targaryen
Alla-Tyrell,Alla Tyrell
Alleras,Alleras
Alys-Arryn,Alys Arryn
Amerei-Frey,Amerei Frey
Anders-Yronwood,Anders Yronwood
Andrey-Dalt,Andrey Dalt
Anya-Waynwood,Anya Waynwood
Areo-Hotah,Areo Hotah
Arianne-Martell,Arianne Martell
Armen,Armen
Arya-Stark,Arya Stark
Arys-Oakheart,Arys Oakheart
Asha-Greyjoy,Asha Greyjoy
Aurane-Waters,Aurane Waters
Baelor-Blacktyde,Baelor Blacktyde
Baelor-I-Targaryen,Baelor I Targaryen
Balman-Byrch,Balman Byrch
Balon-Greyjoy,Balon Greyjoy
Balon-Swann,Balon Swann
Barristan-Selmy,Barristan Selmy
Bellegere-Otherys,Bellegere Otherys
Benedar-Belmore,Benedar Belmore
Beric-Dondarrion,Beric Dondarrion
Biter,Biter
Blue-Bard,Blue Bard
Bonifer-Hasty,Bonifer Hasty
Boros-Blount,Boros Blount
Bran-Stark,Bran Stark
Brea,Brea
Brella,Brella
Brienne-of-Tarth,Brienne of Tarth
Bronn,Bronn
Brusco,Brusco
Brynden-Tully,Brynden Tully
Caleotte,Caleotte
Catelyn-Stark,Catelyn Stark
Cedra,Cedra
Cedric-Payne,Cedric Payne
Cersei-Lannister,Cersei Lannister
Clarence-Crabb,Clarence Crabb
Clement-Piper,Clement Piper
Cleos-Frey,Cleos Frey
Clydas,Clydas
Colemon,Colemon
Craster,Craster
Creighton-Longbough,Creighton Longbough
Daemon-Sand,Daemon Sand
Dalla,Dalla
Dareon,Dareon
Daven-Lannister,Daven Lannister
Denyo-Terys,Denyo Terys
Denys-Darklyn,Denys Darklyn
Dick-Crabb,Dick Crabb
Dontos-Hollard,Dontos Hollard
Doran-Martell,Doran Martell
Dorcas,Dorcas
Dunsen,Dunsen
Dunstan-Drumm,Dunstan Drumm
Eddard-Stark,Eddard Stark
Eddison-Tollett,Eddison Tollett
Edmure-Tully,Edmure Tully
Edwyn-Frey,Edwyn Frey
Elbert-Arryn,Elbert Arryn
Elder-Brother,Elder Brother
Elia-Martell,Elia Martell
Elinor-Tyrell,Elinor Tyrell
Elys-Waynwood,Elys Waynwood
Emmon-Frey,Emmon Frey
Emmond,Emmond
Euron-Greyjoy,Euron Greyjoy
Eustace-Brune,Eustace Brune
Falyse-Stokeworth,Falyse Stokeworth
Forley-Prester,Forley Prester
Franklyn-Fowler,Franklyn Fowler
Garin-(orphan),Garin (orphan)
Garlan-Tyrell,Garlan Tyrell
Garrett-Paege,Garrett Paege
Garth-Tyrell,Garth Tyrell
Gendry,Gendry
Genna-Lannister,Genna Lannister
Gerold-Dayne,Gerold Dayne
Gerold-Grafton,Gerold Grafton
Gilly,Gilly
Gilwood-Hunter,Gilwood Hunter
Gormon-Tyrell,Gormon Tyrell
Gormond-Goodbrother,Gormond Goodbrother
Gorold-Goodbrother,Gorold Goodbrother
Gregor-Clegane,Gregor Clegane
Grenn,Grenn
Gretchel,Gretchel
Greydon-Goodbrother,Greydon Goodbrother
Gyles-Grafton,Gyles Grafton
Gyles-Rosby,Gyles Rosby
Harras-Harlaw,Harras Harlaw
Harrold-Hardyng,Harrold Hardyng
Harys-Swyft,Harys Swyft
High-Septon-(Tyrions),High Septon (Tyrions)
High-Sparrow,High Sparrow
Horton-Redfort,Horton Redfort
Hotho-Harlaw,Hotho Harlaw
Hugo-Vance,Hugo Vance
Humfrey-Hewett,Humfrey Hewett
Hyle-Hunt,Hyle Hunt
Illifer,Illifer
Ilyn-Payne,Ilyn Payne
Jaehaerys-I-Targaryen,Jaehaerys I Targaryen
Jaime-Lannister,Jaime Lannister
Jalabhar-Xho,Jalabhar Xho
Jeor-Mormont,Jeor Mormont
Jeyne-Farman,Jeyne Farman
Jeyne-Heddle,Jeyne Heddle
Jeyne-Westerling,Jeyne Westerling
Jocelyn-Swyft,Jocelyn Swyft
Joffrey-Baratheon,Joffrey Baratheon
Jon-Arryn,Jon Arryn
Jon-Snow,Jon Snow
Josmyn-Peckledon,Josmyn Peckledon
Joy-Hill,Joy Hill
Karyl-Vance,Karyl Vance
Kevan-Lannister,Kevan Lannister
Kindly-Man,Kindly Man
Kojja-Mo,Kojja Mo
Lambert-Turnberry,Lambert Turnberry
Lancel-Lannister,Lancel Lannister
Lanna-(Happy-Port),Lanna (Happy Port)
Leo-Tyrell,Leo Tyrell
Lewys-Piper,Lewys Piper
Lollys-Stokeworth,Lollys Stokeworth
Loras-Tyrell,Loras Tyrell
Lothor-Brune,Lothor Brune
Lucas-Codd,Lucas Codd
Luwin,Luwin
Lyle-Crakehall,Lyle Crakehall
Lyn-Corbray,Lyn Corbray
Lyonel-Corbray,Lyonel Corbray
Lysa-Arryn,Lysa Arryn
Mace-Tyrell,Mace Tyrell
Maddy,Maddy
Maegor-I-Targaryen,Maegor I Targaryen
Maggy,Maggy
Manfrey-Martell,Manfrey Martell
Margaery-Tyrell,Margaery Tyrell
Marillion,Marillion
Mariya-Darry,Mariya Darry
Mark-Mullendore,Mark Mullendore
Marwyn,Marwyn
Mathis-Rowan,Mathis Rowan
Megga-Tyrell,Megga Tyrell
Melara-Hetherspoon,Melara Hetherspoon
Meldred-Merlyn,Meldred Merlyn
Melisandre,Melisandre
Mellei,Mellei
Meralyn,Meralyn
Meribald,Meribald
Meryn-Trant,Meryn Trant
Mollander,Mollander
Moon-Boy,Moon Boy
Morra,Morra
Murenmure,Murenmure
Mya-Stone,Mya Stone
Myranda-Royce,Myranda Royce
Myrcella-Baratheon,Myrcella Baratheon
Nan,Nan
Narbert,Narbert
Nestor-Royce,Nestor Royce
Nute,Nute
Nymeria-Sand,Nymeria Sand
Obara-Sand,Obara Sand
Oberyn-Martell,Oberyn Martell
Olenna-Redwyne,Olenna Redwyne
Orton-Merryweather,Orton Merryweather
Osfryd-Kettleblack,Osfryd Kettleblack
Osmund-Kettleblack,Osmund Kettleblack
Osney-Kettleblack,Osney Kettleblack
Owen-Merryweather,Owen Merryweather
Pate-(novice),Pate (novice)
Pate-(whipping-boy),Pate (whipping boy)
Paxter-Redwyne,Paxter Redwyne
Petyr-Baelish,Petyr Baelish
Pia,Pia
Podrick-Payne,Podrick Payne
Puckens,Puckens
Pycelle,Pycelle
Pyg,Pyg
Pypar,Pypar
Qhorin-Halfhand,Qhorin Halfhand
Quellon-Greyjoy,Quellon Greyjoy
Quentyn-Martell,Quentyn Martell
Quhuru-Mo,Quhuru Mo
Quill,Quill
Qyburn,Qyburn
Rafford,Rafford
Ralf-(Limper),Ralf (Limper)
Ralf-Stonehouse,Ralf Stonehouse
Randyll-Tarly,Randyll Tarly
Raynard,Raynard
Red-Oarsman,Red Oarsman
Renly-Baratheon,Renly Baratheon
Rennifer-Longwaters,Rennifer Longwaters
Rhaegar-Targaryen,Rhaegar Targaryen
Ricasso,Ricasso
Rickon-Stark,Rickon Stark
Robb-Stark,Robb Stark
Robert-Arryn,Robert Arryn
Robert-Baratheon,Robert Baratheon
Rodrik-Harlaw,Rodrik Harlaw
Ronnet-Connington,Ronnet Connington
Roone,Roone
Roose-Bolton,Roose Bolton
Rosey,Rosey
Roslin-Frey,Roslin Frey
Rugen,Rugen
Rus,Rus
Ryman-Frey,Ryman Frey
Samwell-Tarly,Samwell Tarly
Sandor-Clegane,Sandor Clegane
Sansa-Stark,Sansa Stark
Sarella-Sand,Sarella Sand
Sawane-Botley,Sawane Botley
Senelle,Senelle
Shadrich,Shadrich
Shae,Shae
Shagwell,Shagwell
Shitmouth,Shitmouth
Shortear,Shortear
Sigfryd-Harlaw,Sigfryd Harlaw
Stannis-Baratheon,Stannis Baratheon
Sybell-Spicer,Sybell Spicer
Sylva-Santagar,Sylva Santagar
Symond-Templeton,Symond Templeton
Syrio-Forel,Syrio Forel
Taena-of-Myr,Taena of Myr
Talbert-Serry,Talbert Serry
Talea,Talea
Tallad,Tallad
Tanda-Stokeworth,Tanda Stokeworth
Ternesio-Terys,Ternesio Terys
Terrance-Lynderly,Terrance Lynderly
Theobald,Theobald
Theon-Greyjoy,Theon Greyjoy
Thoros-of-Myr,Thoros of Myr
Tickler,Tickler
Timeon,Timeon
Timoth,Timoth
Tommen-Baratheon,Tommen Baratheon
Torbert,Torbert
Torwold-Browntooth,Torwold Browntooth
Tristifer-Botley,Tristifer Botley
Trystane-Martell,Trystane Martell
Tyene-Sand,Tyene Sand
Tyrion-Lannister,Tyrion Lannister
Tywin-Lannister,Tywin Lannister
Umma,Umma
Unella,Unella
Vargo-Hoat,Vargo Hoat
Varys,Varys
Victarion-Greyjoy,Victarion Greyjoy
Waif,Waif
Walder-Frey,Walder Frey
Walder-Rivers,Walder Rivers
Walgrave,Walgrave
Willas-Tyrell,Willas Tyrell
Willow-Heddle,Willow Heddle
Wylis-Manderly,Wylis Manderly
Xhondo,Xhondo
Yohn-Royce,Yohn Royce
Yorko-Terys,Yorko Terys
Zollo,Zollo
