Id,Label
Addam-Marbrand,Addam Marbrand
Aegon-I-Targaryen,Aegon I Targaryen
Aemon-Targaryen-(Maester-Aemon),Aemon Targaryen (Maester Aemon)
Aerys-II-Targaryen,Aerys II Targaryen
Aggo,Aggo
Albett,Albett
Alliser-Thorne,Alliser Thorne
Alyn,Alyn
Arthur-Dayne,Arthur Dayne
Arya-Stark,Arya Stark
Arys-Oakheart,Arys Oakheart
Balon-Greyjoy,Balon Greyjoy
Balon-Swann,Balon Swann
Barristan-Selmy,Barristan Selmy
Benjen-Stark,Benjen Stark
Beric-Dondarrion,Beric Dondarrion
Boros-Blount,Boros Blount
Bowen-Marsh,Bowen Marsh
Bran-Stark,Bran Stark
Brandon-Stark,Brandon Stark
Bronn,Bronn
Brynden-Tully,Brynden Tully
Catelyn-Stark,Catelyn Stark
Cayn,Cayn
Cersei-Lannister,Cersei Lannister
Chella,Chella
Chett,Chett
Chiggen,Chiggen
Clement-Piper,Clement Piper
Clydas,Clydas
Cohollo,Cohollo
Colemon,Colemon
Conn,Conn
Coratt,Coratt
Daenerys-Targaryen,Daenerys Targaryen
Danwell-Frey,Danwell Frey
Dareon,Dareon
Daryn-Hornwood,Daryn Hornwood
Desmond,Desmond
Dolf,Dolf
Donal-Noye,Donal Noye
Donnel-Waynwood,Donnel Waynwood
Doreah,Doreah
Drogo,Drogo
Dywen,Dywen
Eddard-Stark,Eddard Stark
Edmure-Tully,Edmure Tully
Eon-Hunter,Eon Hunter
Eroeh,Eroeh
Fogo,Fogo
Galbart-Glover,Galbart Glover
Gared,Gared
Gendry,Gendry
Gerold-Hightower,Gerold Hightower
Gregor-Clegane,Gregor Clegane
Grenn,Grenn
Gunthor-son-of-Gurn,Gunthor son of Gurn
Haggo,Haggo
Halder,Halder
Hali,Hali
Hallis-Mollen,Hallis Mollen
Harwin,Harwin
Harys-Swyft,Harys Swyft
Heward,Heward
High-Septon-(fat_one),High Septon (fat one)
Hobb,Hobb
Hodor,Hodor
Hosteen-Frey,Hosteen Frey
Hoster-Tully,Hoster Tully
Howland-Reed,Howland Reed
Hugh,Hugh
Hullen,Hullen
Illyrio-Mopatis,Illyrio Mopatis
Ilyn-Payne,Ilyn Payne
Irri,Irri
Jacks,Jacks
Jafer-Flowers,Jafer Flowers
Jaime-Lannister,Jaime Lannister
Janos-Slynt,Janos Slynt
Jared-Frey,Jared Frey
Jaremy-Rykker,Jaremy Rykker
Jeor-Mormont,Jeor Mormont
Jeyne-Poole,Jeyne Poole
Jhiqui,Jhiqui
Jhogo,Jhogo
Joffrey-Baratheon,Joffrey Baratheon
Jommo,Jommo
Jon-Arryn,Jon Arryn
Jon-Snow,Jon Snow
Jon-Umber-(Greatjon),Jon Umber (Greatjon)
Jonos-Bracken,Jonos Bracken
Jorah-Mormont,Jorah Mormont
Jory-Cassel,Jory Cassel
Joseth,Joseth
Joss,Joss
Jyck,Jyck
Karyl-Vance,Karyl Vance
Kevan-Lannister,Kevan Lannister
Kurleket,Kurleket
Lancel-Lannister,Lancel Lannister
Leo-Lefford,Leo Lefford
Loras-Tyrell,Loras Tyrell
Luwin,Luwin
Lyanna-Stark,Lyanna Stark
Lyn-Corbray,Lyn Corbray
Lysa-Arryn,Lysa Arryn
Mace-Tyrell,Mace Tyrell
Maege-Mormont,Maege Mormont
Maegor-I-Targaryen,Maegor I Targaryen
Mance-Rayder,Mance Rayder
Marillion,Marillion
Marq-Piper,Marq Piper
Masha-Heddle,Masha Heddle
Matthar,Matthar
Meryn-Trant,Meryn Trant
Mirri-Maz-Duur,Mirri Maz Duur
Mord,Mord
Mordane,Mordane
Moreo-Tumitis,Moreo Tumitis
Morrec,Morrec
Mya-Stone,Mya Stone
Mycah,Mycah
Mychel-Redfort,Mychel Redfort
Myrcella-Baratheon,Myrcella Baratheon
Nan,Nan
Nestor-Royce,Nestor Royce
Ogo,Ogo
Osha,Osha
Oswell-Whent,Oswell Whent
Othor,Othor
Paxter-Redwyne,Paxter Redwyne
Petyr-Baelish,Petyr Baelish
Porther,Porther
Pycelle,Pycelle
Pypar,Pypar
Qotho,Qotho
Quaro,Quaro
Rakharo,Rakharo
Randyll-Tarly,Randyll Tarly
Rast,Rast
Raymun-Darry,Raymun Darry
Renly-Baratheon,Renly Baratheon
Rhaegar-Targaryen,Rhaegar Targaryen
Rhaego,Rhaego
Rickard-Karstark,Rickard Karstark
Rickard-Stark,Rickard Stark
Rickon-Stark,Rickon Stark
Robb-Stark,Robb Stark
Robert-Arryn,Robert Arryn
Robert-Baratheon,Robert Baratheon
Rodrik-Cassel,Rodrik Cassel
Roose-Bolton,Roose Bolton
Samwell-Tarly,Samwell Tarly
Sandor-Clegane,Sandor Clegane
Sansa-Stark,Sansa Stark
Shae,Shae
Shagga,Shagga
Stannis-Baratheon,Stannis Baratheon
Stevron-Frey,Stevron Frey
Stiv,Stiv
Syrio-Forel,Syrio Forel
Theon-Greyjoy,Theon Greyjoy
Thoros-of-Myr,Thoros of Myr
Timett,Timett
Tobho-Mott,Tobho Mott
Todder,Todder
Tomard,Tomard
Tommen-Baratheon,Tommen Baratheon
Torrhen-Karstark,Torrhen Karstark
Tregar,Tregar
Tyrion-Lannister,Tyrion Lannister
Tytos-Blackwood,Tytos Blackwood
Tywin-Lannister,Tywin Lannister
Ulf-son-of-Umar,Ulf son of Umar
Vardis-Egen,Vardis Egen
Varly,Varly
Varys,Varys
Vayon-Poole,Vayon Poole
Viserys-Targaryen,Viserys Targaryen
Walder-Frey,Walder Frey
Waymar-Royce,Waymar Royce
Wendel-Manderly,Wendel Manderly
Will-(prologue),Will (prologue)
Willis-Wode,Willis Wode
Wyl-(guard),Wyl (guard)
Wylla,Wylla
Yoren,Yoren
