Source,Target,Type,weight,book
Aegon-I-Targaryen,Harren-Hoare,Undirected,4,2
Aegon-I-Targaryen,Nan,Undirected,3,2
Aegon-I-Targaryen,Rhaenys-Targaryen,Undirected,4,2
Aegon-I-Targaryen,Tyrion-Lannister,Undirected,3,2
Aegon-I-Targaryen,Visenya-Targaryen,Undirected,3,2
Aegon-V-Targaryen,Aemon-Targaryen-(Maester-Aemon),Undirected,3,2
Aemon-Targaryen-(Maester-Aemon),Daeron-II-Targaryen,Undirected,3,2
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,9,2
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,11,2
Aemon-Targaryen-(Maester-Aemon),Maekar-I-Targaryen,Undirected,3,2
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,5,2
Aenys-Frey,Arya-Stark,Undirected,6,2
Aeron-Greyjoy,Dagmer,Undirected,5,2
Aeron-Greyjoy,Theon-Greyjoy,Undirected,17,2
Aerys-I-Targaryen,Robert-Baratheon,Undirected,3,2
Aerys-II-Targaryen,Eddard-Stark,Undirected,5,2
Aerys-II-Targaryen,Jaime-Lannister,Undirected,4,2
Aerys-II-Targaryen,Rhaegar-Targaryen,Undirected,4,2
Aerys-II-Targaryen,Robert-Baratheon,Undirected,6,2
Aerys-II-Targaryen,Tyrion-Lannister,Undirected,3,2
Aggar,Gariss,Undirected,3,2
Aggar,Gelmarr,Undirected,3,2
Aggar,Gynir,Undirected,3,2
Aggar,Ramsay-Snow,Undirected,4,2
Aggo,Belwas,Undirected,3,2
Aggo,Daenerys-Targaryen,Undirected,10,2
Aggo,Jhogo,Undirected,12,2
Aggo,Jorah-Mormont,Undirected,4,2
Aggo,Rakharo,Undirected,4,2
Alayaya,Dancy,Undirected,3,2
Alayaya,Tyrion-Lannister,Undirected,3,2
Alebelly,Bran-Stark,Undirected,7,2
Alebelly,Hayhead,Undirected,3,2
Alebelly,Jojen-Reed,Undirected,6,2
Alebelly,Mikken,Undirected,3,2
Alester-Florent,Cortnay-Penrose,Undirected,4,2
Alester-Florent,Davos-Seaworth,Undirected,3,2
Alester-Florent,Renly-Baratheon,Undirected,3,2
Alester-Florent,Stannis-Baratheon,Undirected,5,2
Allar-Deem,Janos-Slynt,Undirected,3,2
Allar-Deem,Tyrion-Lannister,Undirected,4,2
Allard-Seaworth,Davos-Seaworth,Undirected,5,2
Allard-Seaworth,Marya-Seaworth,Undirected,5,2
Allard-Seaworth,Stannis-Baratheon,Undirected,3,2
Alliser-Thorne,Jeor-Mormont,Undirected,3,2
Alliser-Thorne,Joffrey-Baratheon,Undirected,4,2
Alliser-Thorne,Jon-Snow,Undirected,3,2
Alliser-Thorne,Tyrion-Lannister,Undirected,8,2
Amabel,Arya-Stark,Undirected,6,2
Amabel,Harra,Undirected,4,2
Amory-Lorch,Arya-Stark,Undirected,9,2
Amory-Lorch,Cersei-Lannister,Undirected,4,2
Amory-Lorch,Chiswyck,Undirected,4,2
Amory-Lorch,Dunsen,Undirected,3,2
Amory-Lorch,Gendry,Undirected,3,2
Amory-Lorch,Gregor-Clegane,Undirected,7,2
Amory-Lorch,Hot-Pie,Undirected,3,2
Amory-Lorch,Ilyn-Payne,Undirected,4,2
Amory-Lorch,Joffrey-Baratheon,Undirected,7,2
Amory-Lorch,Meryn-Trant,Undirected,5,2
Amory-Lorch,Polliver,Undirected,3,2
Amory-Lorch,Rafford,Undirected,5,2
Amory-Lorch,Roose-Bolton,Undirected,3,2
Amory-Lorch,Sandor-Clegane,Undirected,5,2
Amory-Lorch,Tickler,Undirected,5,2
Amory-Lorch,Tywin-Lannister,Undirected,4,2
Amory-Lorch,Vargo-Hoat,Undirected,7,2
Amory-Lorch,Yoren,Undirected,5,2
Ardrian-Celtigar,Monford-Velaryon,Undirected,5,2
Aron-Santagar,Sandor-Clegane,Undirected,3,2
Arwyn-Oakheart,Randyll-Tarly,Undirected,3,2
Arya-Stark,Beric-Dondarrion,Undirected,5,2
Arya-Stark,Biter,Undirected,10,2
Arya-Stark,Bran-Stark,Undirected,10,2
Arya-Stark,Cersei-Lannister,Undirected,7,2
Arya-Stark,Chiswyck,Undirected,8,2
Arya-Stark,Dobber,Undirected,4,2
Arya-Stark,Dunsen,Undirected,3,2
Arya-Stark,Eddard-Stark,Undirected,6,2
Arya-Stark,Gendry,Undirected,36,2
Arya-Stark,Gregor-Clegane,Undirected,4,2
Arya-Stark,Harra,Undirected,3,2
Arya-Stark,Harren-Hoare,Undirected,7,2
Arya-Stark,Hot-Pie,Undirected,51,2
Arya-Stark,Jaime-Lannister,Undirected,3,2
Arya-Stark,Jaqen-Hghar,Undirected,25,2
Arya-Stark,Joffrey-Baratheon,Undirected,4,2
Arya-Stark,Jon-Snow,Undirected,13,2
Arya-Stark,Koss,Undirected,3,2
