Source,Target,Type,weight,book
Addam-Marbrand,Gyles-Rosby,Undirected,3,3
Addam-Marbrand,Jaime-Lannister,Undirected,3,3
Addam-Marbrand,Jalabhar-Xho,Undirected,3,3
Addam-Marbrand,Joffrey-Baratheon,Undirected,3,3
Addam-Marbrand,Kevan-Lannister,Undirected,3,3
Addam-Marbrand,Oberyn-Martell,Undirected,3,3
Addam-Marbrand,Tyrion-Lannister,Undirected,7,3
Addam-Marbrand,Varys,Undirected,4,3
Aegon-Frey-(son-of-Stevron),Catelyn-Stark,Undirected,4,3
Aegon-Frey-(son-of-Stevron),Robb-Stark,Undirected,5,3
Aegon-Frey-(son-of-Stevron),Stevron-Frey,Undirected,3,3
Aegon-Frey-(son-of-Stevron),Walder-Frey,Undirected,6,3
Aegon-I-Targaryen,Daenerys-Targaryen,Undirected,4,3
Aegon-I-Targaryen,Stannis-Baratheon,Undirected,4,3
Aegon-I-Targaryen,Torrhen-Stark,Undirected,3,3
Aegon-Targaryen-(son-of-Rhaegar),Elia-Martell,Undirected,3,3
Aemon-Targaryen-(Dragonknight),Jaime-Lannister,Undirected,3,3
Aemon-Targaryen-(Maester-Aemon),Alliser-Thorne,Undirected,3,3
Aemon-Targaryen-(Maester-Aemon),Clydas,Undirected,16,3
Aemon-Targaryen-(Maester-Aemon),Cotter-Pyke,Undirected,3,3
Aemon-Targaryen-(Maester-Aemon),Denys-Mallister,Undirected,4,3
Aemon-Targaryen-(Maester-Aemon),Donal-Noye,Undirected,11,3
Aemon-Targaryen-(Maester-Aemon),Eddison-Tollett,Undirected,3,3
Aemon-Targaryen-(Maester-Aemon),Grenn,Undirected,5,3
Aemon-Targaryen-(Maester-Aemon),Hobb,Undirected,3,3
Aemon-Targaryen-(Maester-Aemon),Janos-Slynt,Undirected,5,3
Aemon-Targaryen-(Maester-Aemon),Jeor-Mormont,Undirected,3,3
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,Undirected,36,3
Aemon-Targaryen-(Maester-Aemon),Mance-Rayder,Undirected,5,3
Aemon-Targaryen-(Maester-Aemon),Owen,Undirected,3,3
Aemon-Targaryen-(Maester-Aemon),Pypar,Undirected,5,3
Aemon-Targaryen-(Maester-Aemon),Robert-Baratheon,Undirected,5,3
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,Undirected,32,3
Aemon-Targaryen-(Maester-Aemon),Stannis-Baratheon,Undirected,9,3
Aemon-Targaryen-(Maester-Aemon),Wynton-Stout,Undirected,3,3
Aerys-II-Targaryen,Arthur-Dayne,Undirected,5,3
Aerys-II-Targaryen,Brienne-of-Tarth,Undirected,3,3
Aerys-II-Targaryen,Jaime-Lannister,Undirected,22,3
Aerys-II-Targaryen,Joffrey-Baratheon,Undirected,6,3
Aerys-II-Targaryen,Robert-Baratheon,Undirected,9,3
Aerys-II-Targaryen,Rossart,Undirected,4,3
Aerys-II-Targaryen,Tyrion-Lannister,Undirected,6,3
Aerys-II-Targaryen,Tywin-Lannister,Undirected,10,3
Aerys-II-Targaryen,Viserys-Targaryen,Undirected,3,3
Aggo,Jhogo,Undirected,4,3
Aggo,Rakharo,Undirected,3,3
Alayaya,Bronn,Undirected,3,3
Alayaya,Cersei-Lannister,Undirected,3,3
Alayaya,Tyrion-Lannister,Undirected,4,3
Alerie-Hightower,Mace-Tyrell,Undirected,3,3
Alerie-Hightower,Margaery-Tyrell,Undirected,3,3
Alester-Florent,Axell-Florent,Undirected,4,3
Alester-Florent,Davos-Seaworth,Undirected,11,3
Alester-Florent,Lamprey,Undirected,3,3
Alester-Florent,Selyse-Florent,Undirected,4,3
Alester-Florent,Stannis-Baratheon,Undirected,4,3
Alla-Tyrell,Elinor-Tyrell,Undirected,5,3
Alla-Tyrell,Megga-Tyrell,Undirected,6,3
Alla-Tyrell,Sansa-Stark,Undirected,4,3
Alliser-Thorne,Janos-Slynt,Undirected,13,3
Alliser-Thorne,Jon-Snow,Undirected,22,3
Alliser-Thorne,Mance-Rayder,Undirected,6,3
Alliser-Thorne,Qhorin-Halfhand,Undirected,4,3
Alliser-Thorne,Samwell-Tarly,Undirected,4,3
Alliser-Thorne,Stannis-Baratheon,Undirected,3,3
Amory-Lorch,Gregor-Clegane,Undirected,3,3
Amory-Lorch,Jaime-Lannister,Undirected,3,3
Amory-Lorch,Oberyn-Martell,Undirected,6,3
Amory-Lorch,Tywin-Lannister,Undirected,4,3
Amory-Lorch,Vargo-Hoat,Undirected,3,3
Anders-Yronwood,Oberyn-Martell,Undirected,3,3
Andrew-Estermont,Davos-Seaworth,Undirected,4,3
Andrew-Estermont,Edric-Storm,Undirected,4,3
Andrew-Estermont,Gerald-Gower,Undirected,3,3
Anguy,Arya-Stark,Undirected,15,3
Anguy,Beric-Dondarrion,Undirected,4,3
