Id,Label
Addam-Marbrand,Addam Marbrand
Aegon-Frey-(son-of-Stevron),Aegon Frey (son of Stevron)
Aegon-I-Targaryen,Aegon I Targaryen
Aegon-Targaryen-(son-of-Rhaegar),Aegon Targaryen (son of Rhaegar)
Aemon-Targaryen-(Dragonknight),Aemon Targaryen (Dragonknight)
Aemon-Targaryen-(Maester-Aemon),Maester Aemon
Aerys-II-Targaryen,Aerys II Targaryen
Aggo,Aggo
Alayaya,Alayaya
Alerie-Hightower,Alerie Hightower
Alester-Florent,Alester Florent
Alla-Tyrell,Alla Tyrell
Alliser-Thorne,Alliser Thorne
Amory-Lorch,Amory Lorch
Anders-Yronwood,Anders Yronwood
Andrew-Estermont,Andrew Estermont
Anguy,Anguy
Arson,Arson
Arstan,Arstan
Arthur-Dayne,Arthur Dayne
Arya-Stark,Arya Stark
Axell-Florent,Axell Florent
Azor-Ahai,Azor Ahai
Baelor-I-Targaryen,Baelor I Targaryen
Ballabar,Ballabar
Balon-Greyjoy,Balon Greyjoy
Balon-Swann,Balon Swann
Bannen,Bannen
Barristan-Selmy,Barristan Selmy
Bedwyck,Bedwyck
Belwas,Belwas
Ben-Plumm,Ben Plumm
Benjen-Stark,Benjen Stark
Beric-Dondarrion,Beric Dondarrion
Big-Boil,Big Boil
Biter,Biter
Blane,Blane
Boros-Blount,Boros Blount
Bowen-Marsh,Bowen Marsh
Bran-Stark,Bran Stark
Brandon-Stark,Brandon Stark
Brella,Brella
Brenett,Brenett
Brienne-of-Tarth,Brienne of Tarth
Bronn,Bronn
Brynden-Tully,Brynden Tully
Butterbumps,Butterbumps
Byam-Flint,Byam Flint
Catelyn-Stark,Catelyn Stark
Cersei-Lannister,Cersei Lannister
Chataya,Chataya
Chett,Chett
Cleon,Cleon
Cleos-Frey,Cleos Frey
Clubfoot-Karl,Clubfoot Karl
Clydas,Clydas
Coldhands,Coldhands
Cotter-Pyke,Cotter Pyke
Craster,Craster
Cressen,Cressen
Daario-Naharis,Daario Naharis
Dacey-Mormont,Dacey Mormont
Daenerys-Targaryen,Daenerys Targaryen
Daeron-I-Targaryen,Daeron I Targaryen
Dalla,Dalla
Davos-Seaworth,Davos Seaworth
Denys-Mallister,Denys Mallister
Desmond-Grell,Desmond Grell
Devan-Seaworth,Devan Seaworth
Dick-Follard,Dick Follard
Dirk,Dirk
Donal-Noye,Donal Noye
Dontos-Hollard,Dontos Hollard
Doran-Martell,Doran Martell
Drogo,Drogo
Dunsen,Dunsen
Dywen,Dywen
Eddard-Stark,Eddard Stark
Eddison-Tollett,Eddison Tollett
Edmure-Tully,Edmure Tully
Edric-Storm,Edric Storm
Elia-Martell,Elia Martell
Elinor-Tyrell,Elinor Tyrell
Ellaria-Sand,Ellaria Sand
Elmar-Frey,Elmar Frey
Errok,Errok
Frenken,Frenken
Galbart-Glover,Galbart Glover
Galyeon-of-Cuy,Galyeon of Cuy
Garlan-Tyrell,Garlan Tyrell
Gawen-Westerling,Gawen Westerling
Gendel,Gendel
Gendry,Gendry
Gerald-Gower,Gerald Gower
Gerold-Hightower,Gerold Hightower
Ghael,Ghael
Gilly,Gilly
Gorne,Gorne
Grazdan-mo-Eraz,Grazdan mo Eraz
Greenbeard,Greenbeard
Gregor-Clegane,Gregor Clegane
Grenn,Grenn
Grey-Worm,Grey Worm
Grigg,Grigg
Grisel,Grisel
Groleo,Groleo
Guncer-Sunglass,Guncer Sunglass
Gyles-Rosby,Gyles Rosby
Halder,Halder
Hareth-(Moles-Town),Hareth (Moles Town)
Harma,Harma
Harwin,Harwin
Helman-Tallhart,Helman Tallhart
High-Septon-(Tyrions),High Septon (Tyrions)
Hobb,Hobb
Hodor,Hodor
Hoster-Tully,Hoster Tully
Hot-Pie,Hot Pie
Husband,Husband
Illyrio-Mopatis,Illyrio Mopatis
Ilyn-Payne,Ilyn Payne
Irri,Irri
Jack-Be-Lucky,Jack Be Lucky
Jack-Bulwer,Jack Bulwer
Jaime-Lannister,Jaime Lannister
Jalabhar-Xho,Jalabhar Xho
Janos-Slynt,Janos Slynt
Jarl,Jarl
Jason-Mallister,Jason Mallister
Jeor-Mormont,Jeor Mormont
Jeyne-Westerling,Jeyne Westerling
Jhiqui,Jhiqui
Jhogo,Jhogo
Joanna-Lannister,Joanna Lannister
Joffrey-Baratheon,Joffrey Baratheon
Jojen-Reed,Jojen Reed
Jon-Arryn,Jon Arryn
Jon-Snow,Jon Snow
Jon-Umber-(Greatjon),Jon Umber (Greatjon)
Jon-Umber-(Smalljon),Jon Umber (Smalljon)
Jonothor-Darry,Jonothor Darry
Jorah-Mormont,Jorah Mormont
Joramun,Joramun
Kegs,Kegs
Kella,Kella
Kevan-Lannister,Kevan Lannister
Khorane-Sathmantes,Khorane Sathmantes
Kraznys-mo-Nakloz,Kraznys mo Nakloz
Lamprey,Lamprey
Lancel-Lannister,Lancel Lannister
Lark,Lark
Lem,Lem
Leonette-Fossoway,Leonette Fossoway
Lewyn-Martell,Lewyn Martell
Lollys-Stokeworth,Lollys Stokeworth
Loras-Tyrell,Loras Tyrell
Lothar-Frey,Lothar Frey
Lothor-Brune,Lothor Brune
Luwin,Luwin
Lysa-Arryn,Lysa Arryn
Mace-Tyrell,Mace Tyrell
Mad-Huntsman,Mad Huntsman
Maege-Mormont,Maege Mormont
Maegor-I-Targaryen,Maegor I Targaryen
Mag-Mar-Tun-Doh-Weg,Mag Mar Tun Doh Weg
Mallador-Locke,Mallador Locke
Mance-Rayder,Mance Rayder
Mandon-Moore,Mandon Moore
Margaery-Tyrell,Margaery Tyrell
Marillion,Marillion
Marq-Piper,Marq Piper
Martyn-Lannister,Martyn Lannister
Mathis-Rowan,Mathis Rowan
Meera-Reed,Meera Reed
Megga-Tyrell,Megga Tyrell
Melisandre,Melisandre
Mero,Mero
Merrett-Frey,Merrett Frey
Merrit,Merrit
Meryn-Trant,Meryn Trant
Missandei,Missandei
Moon-Boy,Moon Boy
Mordane,Mordane
Mully,Mully
Munda,Munda
Mycah,Mycah
Myrcella-Baratheon,Myrcella Baratheon
Nage,Nage
Nan,Nan
Oberyn-Martell,Oberyn Martell
Olenna-Redwyne,Olenna Redwyne
Olyvar-Frey,Olyvar Frey
Orell,Orell
Osmund-Kettleblack,Osmund Kettleblack
Oswell-Kettleblack,Oswell Kettleblack
Oswell-Whent,Oswell Whent
Othell-Yarwyck,Othell Yarwyck
Ottyn-Wythers,Ottyn Wythers
Owen,Owen
Oznak-zo-Pahl,Oznak zo Pahl
Patchface,Patchface
Pate-(Old),Pate (Old)
Paxter-Redwyne,Paxter Redwyne
Perwyn-Frey,Perwyn Frey
Petyr-Baelish,Petyr Baelish
Petyr-Frey,Petyr Frey
Podrick-Payne,Podrick Payne
Polliver,Polliver
Porridge,Porridge
Prendahl-na-Ghezn,Prendahl na Ghezn
Pycelle,Pycelle
Pylos,Pylos
Pypar,Pypar
Qhorin-Halfhand,Qhorin Halfhand
Qyburn,Qyburn
Rafford,Rafford
Ragwyle,Ragwyle
Rakharo,Rakharo
Ramsay-Snow,Ramsay Snow
Randyll-Tarly,Randyll Tarly
Rattleshirt,Rattleshirt
Ravella-Swann,Ravella Swann
Raynald-Westerling,Raynald Westerling
Renly-Baratheon,Renly Baratheon
Rhaegar-Targaryen,Rhaegar Targaryen
Rhaegel-Targaryen,Rhaegel Targaryen
Rhaella-Targaryen,Rhaella Targaryen
Rickard-Karstark,Rickard Karstark
Rickon-Stark,Rickon Stark
Robb-Stark,Robb Stark
Robert-Arryn,Robert Arryn
Robert-Baratheon,Robert Baratheon
Robett-Glover,Robett Glover
Robin-Flint,Robin Flint
Robin-Ryger,Robin Ryger
Rodrik-Cassel,Rodrik Cassel
Rollam-Westerling,Rollam Westerling
Rolph-Spicer,Rolph Spicer
Roose-Bolton,Roose Bolton
Rorge,Rorge
Roslin-Frey,Roslin Frey
Rossart,Rossart
Ryk,Ryk
Ryman-Frey,Ryman Frey
Salladhor-Saan,Salladhor Saan
Sallor,Sallor
Samwell-Tarly,Samwell Tarly
Sandor-Clegane,Sandor Clegane
Sansa-Stark,Sansa Stark
Satin,Satin
Selyse-Florent,Selyse Florent
Shae,Shae
Shagwell,Shagwell
Sharna,Sharna
Shireen-Baratheon,Shireen Baratheon
Simon-Toyne,Simon Toyne
Small-Paul,Small Paul
Smiling-Knight,Smiling Knight
Softfoot,Softfoot
Spare-Boot,Spare Boot
