Id,Label
Aegon-I-Targaryen,Aegon I Targaryen
Aegon-Targaryen-(son-of-Rhaegar),Aegon Targaryen (son of Rhaegar)
Aemon-Targaryen-(Maester-Aemon),Aemon Targaryen (Maester Aemon)
Aenys-Frey,Aenys Frey
Aeron-Greyjoy,Aeron Greyjoy
Aerys-II-Targaryen,Aerys II Targaryen
Aggo,Aggo
Alliser-Thorne,Alliser Thorne
Alys-Karstark,Alys Karstark
Alysane-Mormont,Alysane Mormont
Archibald-Yronwood,Archibald Yronwood
Areo-Hotah,Areo Hotah
Arianne-Martell,Arianne Martell
Arnolf-Karstark,Arnolf Karstark
Arron,Arron
Arthor-Karstark,Arthor Karstark
Arya-Stark,Arya Stark
Arys-Oakheart,Arys Oakheart
Asha-Greyjoy,Asha Greyjoy
Ashara-Dayne,Ashara Dayne
Axell-Florent,Axell Florent
Azor-Ahai,Azor Ahai
Balon-Greyjoy,Balon Greyjoy
Balon-Swann,Balon Swann
Barbrey-Dustin,Barbrey Dustin
Barristan-Selmy,Barristan Selmy
Barsena,Barsena
Bartimus,Bartimus
Belaquo,Belaquo
Belwas,Belwas
Ben-Bones,Ben Bones
Ben-Plumm,Ben Plumm
Benerro,Benerro
Benethon-Scales,Benethon Scales
Benjen-Stark,Benjen Stark
Black-Balaq,Black Balaq
Bloodbeard,Bloodbeard
Boros-Blount,Boros Blount
Bowen-Marsh,Bowen Marsh
Bran-Stark,Bran Stark
Brandon-Norrey,Brandon Norrey
Brea,Brea
Brienne-of-Tarth,Brienne of Tarth
Brus-Buckler,Brus Buckler
Brusco,Brusco
Brynden-Rivers,Brynden Rivers
Brynden-Tully,Brynden Tully
Bump,Bump
Caggo,Caggo
Caleotte,Caleotte
Camarron,Camarron
Catelyn-Stark,Catelyn Stark
Cellador,Cellador
Cersei-Lannister,Cersei Lannister
Clayton-Suggs,Clayton Suggs
Cleon,Cleon
Cletus-Yronwood,Cletus Yronwood
Clydas,Clydas
Coldhands,Coldhands
Corliss-Penny,Corliss Penny
Cotter-Pyke,Cotter Pyke
Cromm,Cromm
Daario-Naharis,Daario Naharis
Daenerys-Targaryen,Daenerys Targaryen
Daeron-II-Targaryen,Daeron II Targaryen
Dalla,Dalla
Damon-Dance-for-Me,Damon Dance for Me
Davos-Seaworth,Davos Seaworth
Denys-Mallister,Denys Mallister
Denzo-Dhan,Denzo Dhan
Devan-Seaworth,Devan Seaworth
Dick-Straw,Dick Straw
Donal-Noye,Donal Noye
Doran-Martell,Doran Martell
Draqaz,Draqaz
Drogo,Drogo
Dryn,Dryn
Dunsen,Dunsen
Eddard-Stark,Eddard Stark
Eddison-Tollett,Eddison Tollett
Elia-Martell,Elia Martell
Ellaria-Sand,Ellaria Sand
Emmett,Emmett
Emrick,Emrick
Eroeh,Eroeh
Euron-Greyjoy,Euron Greyjoy
Ezzara,Ezzara
Franklyn-Flowers,Franklyn Flowers
Frenya,Frenya
Fulk,Fulk
Galazza-Galare,Galazza Galare
Galbart-Glover,Galbart Glover
Garth-(Wolfs-Den),Garth (Wolfs Den)
Garth-Greyfeather,Garth Greyfeather
Gerold-Dayne,Gerold Dayne
Gerrick-Kingsblood,Gerrick Kingsblood
Gerris-Drinkwater,Gerris Drinkwater
Ghael,Ghael
Gilly,Gilly
Godric-Borrell,Godric Borrell
Godry-Farring,Godry Farring
Goghor-the-Giant,Goghor the Giant
Grazhar,Grazhar
Gregor-Clegane,Gregor Clegane
Grenn,Grenn
Grey-Worm,Grey Worm
Grimtongue,Grimtongue
Groleo,Groleo
Grunt,Grunt
Hagen,Hagen
Haggon,Haggon
Hairy-Hal,Hairy Hal
Haldon,Haldon
Hareth-(Moles-Town),Hareth (Moles Town)
Harl,Harl
Harry-Strickland,Harry Strickland
Harwood-Stout,Harwood Stout
Harys-Swyft,Harys Swyft
Hero,Hero
High-Sparrow,High Sparrow
Hizdahr-zo-Loraq,Hizdahr zo Loraq
Hobb,Hobb
Hodor,Hodor
Holly,Holly
Hop-Robin,Hop Robin
Hosteen-Frey,Hosteen Frey
Hoster-Blackwood,Hoster Blackwood
Hother-Umber,Hother Umber
Hugh-Hungerford,Hugh Hungerford
Illyrio-Mopatis,Illyrio Mopatis
Ilyn-Payne,Ilyn Payne
Irri,Irri
Jack-Bulwer,Jack Bulwer
Jaime-Lannister,Jaime Lannister
Janos-Slynt,Janos Slynt
Jared-Frey,Jared Frey
Jeor-Mormont,Jeor Mormont
Jeyne-Poole,Jeyne Poole
Jhiqui,Jhiqui
Jhogo,Jhogo
Joffrey-Baratheon,Joffrey Baratheon
