Source,Target,Type,weight,book
Addam-Marbrand,Brynden-Tully,undirected,3,4
Addam-Marbrand,Cersei-Lannister,undirected,3,4
Addam-Marbrand,Jaime-Lannister,undirected,8,4
Addam-Marbrand,Lyle-Crakehall,undirected,4,4
Aegon-Targaryen-(son-of-Rhaegar),Rhaegar-Targaryen,undirected,3,4
Aegon-V-Targaryen,Aemon-Targaryen-(Maester-Aemon),undirected,3,4
Aemon-Targaryen-(Maester-Aemon),Alleras,undirected,4,4
Aemon-Targaryen-(Maester-Aemon),Clydas,undirected,5,4
Aemon-Targaryen-(Maester-Aemon),Dareon,undirected,5,4
Aemon-Targaryen-(Maester-Aemon),Gilly,undirected,17,4
Aemon-Targaryen-(Maester-Aemon),Jon-Snow,undirected,17,4
Aemon-Targaryen-(Maester-Aemon),Samwell-Tarly,undirected,41,4
Aeron-Greyjoy,Asha-Greyjoy,undirected,7,4
Aeron-Greyjoy,Baelor-Blacktyde,undirected,4,4
Aeron-Greyjoy,Balon-Greyjoy,undirected,17,4
Aeron-Greyjoy,Dunstan-Drumm,undirected,4,4
Aeron-Greyjoy,Emmond,undirected,4,4
Aeron-Greyjoy,Euron-Greyjoy,undirected,23,4
Aeron-Greyjoy,Gormond-Goodbrother,undirected,6,4
Aeron-Greyjoy,Gorold-Goodbrother,undirected,10,4
Aeron-Greyjoy,Greydon-Goodbrother,undirected,4,4
Aeron-Greyjoy,Meldred-Merlyn,undirected,7,4
Aeron-Greyjoy,Murenmure,undirected,11,4
Aeron-Greyjoy,Rus,undirected,5,4
Aeron-Greyjoy,Theon-Greyjoy,undirected,3,4
Aeron-Greyjoy,Victarion-Greyjoy,undirected,17,4
Aerys-II-Targaryen,Barristan-Selmy,undirected,4,4
Aerys-II-Targaryen,Cersei-Lannister,undirected,3,4
Aerys-II-Targaryen,Denys-Darklyn,undirected,4,4
Aerys-II-Targaryen,Elbert-Arryn,undirected,3,4
Aerys-II-Targaryen,Jaime-Lannister,undirected,6,4
Aerys-II-Targaryen,Owen-Merryweather,undirected,3,4
Aerys-II-Targaryen,Rhaegar-Targaryen,undirected,5,4
Aerys-II-Targaryen,Robert-Baratheon,undirected,3,4
Aerys-II-Targaryen,Tywin-Lannister,undirected,10,4
Alla-Tyrell,Elinor-Tyrell,undirected,8,4
Alla-Tyrell,Margaery-Tyrell,undirected,7,4
Alla-Tyrell,Megga-Tyrell,undirected,10,4
Alla-Tyrell,Osney-Kettleblack,undirected,3,4
Alleras,Armen,undirected,5,4
Alleras,Leo-Tyrell,undirected,7,4
Alleras,Marwyn,undirected,3,4
Alleras,Mollander,undirected,7,4
Alleras,Pate-(novice),undirected,8,4
Alleras,Roone,undirected,6,4
Alleras,Samwell-Tarly,undirected,8,4
Alys-Arryn,Elys-Waynwood,undirected,4,4
Alys-Arryn,Jon-Arryn,undirected,3,4
Amerei-Frey,Jaime-Lannister,undirected,6,4
Amerei-Frey,Lancel-Lannister,undirected,10,4
Amerei-Frey,Lyle-Crakehall,undirected,4,4
Anders-Yronwood,Quentyn-Martell,undirected,4,4
Andrey-Dalt,Arianne-Martell,undirected,10,4
Andrey-Dalt,Garin-(orphan),undirected,11,4
Andrey-Dalt,Myrcella-Baratheon,undirected,4,4
Andrey-Dalt,Sylva-Santagar,undirected,8,4
Andrey-Dalt,Tyene-Sand,undirected,4,4
Anya-Waynwood,Benedar-Belmore,undirected,4,4
Anya-Waynwood,Gilwood-Hunter,undirected,6,4
Anya-Waynwood,Harrold-Hardyng,undirected,6,4
Anya-Waynwood,Horton-Redfort,undirected,7,4
Anya-Waynwood,Petyr-Baelish,undirected,10,4
Anya-Waynwood,Symond-Templeton,undirected,6,4
Anya-Waynwood,Yohn-Royce,undirected,5,4
Areo-Hotah,Arianne-Martell,undirected,17,4
Areo-Hotah,Arys-Oakheart,undirected,7,4
Areo-Hotah,Caleotte,undirected,7,4
Areo-Hotah,Doran-Martell,undirected,32,4
Areo-Hotah,Myrcella-Baratheon,undirected,5,4
Areo-Hotah,Obara-Sand,undirected,7,4
Areo-Hotah,Oberyn-Martell,undirected,3,4
Arianne-Martell,Arys-Oakheart,undirected,19,4
Arianne-Martell,Cedra,undirected,8,4
